image_id,image,brightness_threshold,defect_percentage,number_of_defects,yellow_ratio,largest_defect_ratio,mean_defect_ratio,aspect_ratio,circularity,solidity,grade
NDM_M1 (177),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (177).jpg,20,0.10660762664003863,5,46.170003355787095,0.0003734336249866996,0.00021321525328007727,2.009467455621302,0.6105145304727461,0.9593069684738909,NDM_M1
NDM_M1 (178),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (178).jpg,20,0.1310290227751149,6,45.35251000873527,0.0005134782937791389,0.00021838170462519152,0.4973513831665686,0.6104793688162558,0.9591617544701316,NDM_M1
NDM_M1 (179),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (179).jpg,18,0.1061299452038297,4,78.90981857908456,0.0005655962631936619,0.0002653248630095743,2.0551558752997603,0.6084430950311752,0.9590952307135845,NDM_M1
NDM_M1 (18),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (18).jpg,19,0.13232956766496587,8,4.595538750491208,0.00030839080850993605,0.00016541195958120735,0.4606345475910693,0.5994858246723531,0.9465918874496145,NDM_M1
NDM_M1 (180),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (180).jpg,19,0.11504065128060673,5,78.9948672516896,0.0005687523787611305,0.00023008130256121345,0.4871645274212369,0.607731685750744,0.9584513092486922,NDM_M1
NDM_M1 (181),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (181).jpg,20,0.22756284013272265,11,25.22596464166328,0.00045265105037727797,0.00020687530921156605,2.0983810709838107,0.6170256757506623,0.961092925259709,NDM_M1
NDM_M1 (182),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (182).jpg,21,0.21652788260476857,11,24.981440467205303,0.00044027336129636276,0.0001968435296406987,0.47743467933491684,0.6137441543504684,0.9608783168324204,NDM_M1
NDM_M1 (183),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (183).jpg,22,0.0479557458382936,3,93.32806319668131,0.0002360321865478513,0.00015985248612764531,1.943089430894309,0.6918135780597245,0.9892897043308583,NDM_M1
NDM_M1 (184),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (184).jpg,23,0.046438947296476164,3,93.18133940784725,0.0002247045836926266,0.0001547964909882539,0.5155502392344498,0.6905346093252935,0.9892997909789193,NDM_M1
NDM_M1 (185),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (185).jpg,24,0.09704677970381007,5,52.81089378593777,0.00040764907463660056,0.00019409355940762016,1.9489216799091942,0.6655885944913663,0.986132661019496,NDM_M1
NDM_M1 (186),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (186).jpg,24,0.10562540760012061,7,53.06909742431786,0.0002647209385496799,0.00015089343942874373,0.5134032634032634,0.657002235907207,0.9859163770547725,NDM_M1
NDM_M1 (187),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (187).jpg,20,0.0958516564908999,5,92.52450026431819,0.0003218291981573245,0.0001917033129817998,2.187979539641944,0.5513141709456479,0.9454868944165712,NDM_M1
NDM_M1 (188),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (188).jpg,20,0.10699324583353664,5,92.52197369429905,0.0002904268345101429,0.00021398649166707326,0.4570426651081239,0.5515309345462708,0.9453822166108773,NDM_M1
NDM_M1 (189),c:\Users\noppa\OneDrive\Desktop\mango\data\jpg\NDM_M1\NDM_M1 (189).jpg,19,0.09417173442731945,4,92.0295896398508,0.00033662724667226664,0.00023542933606829862,1.9870435806831566,0.5886726576858577,0.9521171672117107,NDM_M1
